,lr_l2,svm_linear_cal,rf,xgb,extratrees
lr_l2,1.0,0.04550026389635842,0.0013742758758317208,1.973175400848959e-09,0.005110260660855959
svm_linear_cal,0.04550026389635842,1.0,1.9928852634798488e-07,1.3322676295501878e-15,1.586656303897982e-06
rf,0.0013742758758317208,1.9928852634798488e-07,1.0,0.005110260660855959,0.6891565167793514
xgb,1.973175400848959e-09,1.3322676295501878e-15,0.005110260660855959,1.0,0.0013742758758317208
extratrees,0.005110260660855959,1.586656303897982e-06,0.6891565167793514,0.0013742758758317208,1.0
