,lr_l2,svm_linear_cal,rf,xgb,extratrees
lr_l2,1.0,0.04550026389635842,9.619268803517933e-05,1.973175400848959e-09,0.035728841125633126
svm_linear_cal,0.04550026389635842,1.0,3.6350156218389884e-09,1.3322676295501878e-15,4.131501382498293e-05
rf,9.619268803517933e-05,3.6350156218389884e-09,1.0,0.035728841125633126,0.07186063822585154
xgb,1.973175400848959e-09,1.3322676295501878e-15,0.035728841125633126,1.0,9.619268803517933e-05
extratrees,0.035728841125633126,4.131501382498293e-05,0.07186063822585154,9.619268803517933e-05,1.0
