,lr_l2,svm_linear_cal,rf,xgb,extratrees
lr_l2,1.0,0.04550026389635842,0.0006738585313537104,1.973175400848959e-09,0.009322376047437464
svm_linear_cal,0.04550026389635842,1.0,6.66408970229071e-08,1.3322676295501878e-15,4.2249094049928715e-06
rf,0.0006738585313537104,6.66408970229071e-08,1.0,0.009322376047437464,0.42371079716679283
xgb,1.973175400848959e-09,1.3322676295501878e-15,0.009322376047437464,1.0,0.0006738585313537104
extratrees,0.009322376047437464,4.2249094049928715e-06,0.42371079716679283,0.0006738585313537104,1.0
