,lr_l2,svm_linear_cal,rf,xgb,extratrees
lr_l2,1.0,0.04550026389635842,0.009322376047437464,3.797912495606681e-08,9.619268803517933e-05
svm_linear_cal,0.04550026389635842,1.0,4.2249094049928715e-06,6.372680161348399e-14,3.6350156218389884e-09
rf,0.009322376047437464,4.2249094049928715e-06,1.0,0.00373162660076809,0.1936009691712206
xgb,3.797912495606681e-08,6.372680161348399e-14,0.00373162660076809,1.0,0.10959858339911599
extratrees,9.619268803517933e-05,3.6350156218389884e-09,0.1936009691712206,0.10959858339911599,1.0
