,lr_l2,svm_linear_cal,rf,xgb,extratrees
lr_l2,1.0,1.0,2.559730205575761e-12,5.733031438470704e-07,0.002699796063260207
svm_linear_cal,1.0,1.0,2.559730205575761e-12,5.733031438470704e-07,0.002699796063260207
rf,2.559730205575761e-12,2.559730205575761e-12,1.0,0.04550026389635842,6.334248366623996e-05
xgb,5.733031438470704e-07,5.733031438470704e-07,0.04550026389635842,1.0,0.04550026389635842
extratrees,0.002699796063260207,0.002699796063260207,6.334248366623996e-05,0.04550026389635842,1.0
