,lr_l2,svm_linear_cal,rf,xgb,extratrees
lr_l2,1.0,0.04550026389635842,0.02780689502699718,1.973175400848959e-09,0.0001446960878501713
svm_linear_cal,0.04550026389635842,1.0,2.6691498031805594e-05,1.3322676295501878e-15,6.631492022179941e-09
rf,0.02780689502699718,2.6691498031805594e-05,1.0,0.0001446960878501713,0.10959858339911599
xgb,1.973175400848959e-09,1.3322676295501878e-15,0.0001446960878501713,1.0,0.02780689502699718
extratrees,0.0001446960878501713,6.631492022179941e-09,0.10959858339911599,0.02780689502699718,1.0
