,lr_l2,svm_linear_cal,rf,xgb,extratrees
lr_l2,1.0,0.04550026389635842,0.000966848284767563,1.973175400848959e-09,0.006933947606081237
svm_linear_cal,0.04550026389635842,1.0,1.1580268077793221e-07,1.3322676295501878e-15,2.6016149077268125e-06
rf,0.000966848284767563,1.1580268077793221e-07,1.0,0.006933947606081237,0.5485062355001473
xgb,1.973175400848959e-09,1.3322676295501878e-15,0.006933947606081237,1.0,0.000966848284767563
extratrees,0.006933947606081237,2.6016149077268125e-06,0.5485062355001473,0.000966848284767563,1.0
