,lr_l2,svm_linear_cal,rf,xgb,extratrees
lr_l2,1.0,0.04550026389635842,0.0004652581580710802,2.1435180519446817e-08,0.00373162660076809
svm_linear_cal,0.04550026389635842,1.0,3.797912495606681e-08,2.9531932455029164e-14,9.583665532275631e-07
rf,0.0004652581580710802,3.797912495606681e-08,1.0,0.035728841125633126,0.5485062355001473
xgb,2.1435180519446817e-08,2.9531932455029164e-14,0.035728841125633126,1.0,0.006933947606081459
extratrees,0.00373162660076809,9.583665532275631e-07,0.5485062355001473,0.006933947606081459,1.0
