,lr_l2,svm_linear_cal,rf,xgb,extratrees
lr_l2,1.0,0.04550026389635842,0.0013742758758317208,3.6350156218389884e-09,0.00373162660076809
svm_linear_cal,0.04550026389635842,1.0,1.9928852634798488e-07,2.886579864025407e-15,9.583665532275631e-07
rf,0.0013742758758317208,1.9928852634798488e-07,1.0,0.006933947606081237,0.7641771556220949
xgb,3.6350156218389884e-09,2.886579864025407e-15,0.006933947606081237,1.0,0.002699796063260207
extratrees,0.00373162660076809,9.583665532275631e-07,0.7641771556220949,0.002699796063260207,1.0
