,lr_l2,svm_linear_cal,rf,xgb,extratrees
lr_l2,1.0,0.04550026389635842,0.021448220043351673,1.1980742842254699e-08,6.334248366623996e-05
svm_linear_cal,0.04550026389635842,1.0,1.7079810942011164e-05,1.354472090042691e-14,1.973175400848959e-09
rf,0.021448220043351673,1.7079810942011164e-05,1.0,0.0006738585313537104,0.08913092551708601
xgb,1.1980742842254699e-08,1.354472090042691e-14,0.0006738585313537104,1.0,0.08913092551708623
extratrees,6.334248366623996e-05,1.973175400848959e-09,0.08913092551708601,0.08913092551708623,1.0
