,lr_l2,svm_linear_cal,rf,xgb,extratrees
lr_l2,1.0,0.04550026389635842,0.009322376047437464,1.1980742842254699e-08,0.0002155994669548189
svm_linear_cal,0.04550026389635842,1.0,4.2249094049928715e-06,1.354472090042691e-14,1.1980742842254699e-08
rf,0.009322376047437464,4.2249094049928715e-06,1.0,0.0019352064264366309,0.2713321218927649
xgb,1.1980742842254699e-08,1.354472090042691e-14,0.0019352064264366309,1.0,0.04550026389635842
extratrees,0.0002155994669548189,1.1980742842254699e-08,0.2713321218927649,0.04550026389635842,1.0
