,lr_l2,svm_linear_cal,rf,xgb,extratrees
lr_l2,1.0,0.04550026389635842,0.01639507184919231,1.973175400848959e-09,0.0003182171803151057
svm_linear_cal,0.04550026389635842,1.0,1.0825087815469203e-05,1.3322676295501878e-15,2.1435180519446817e-08
rf,0.01639507184919231,1.0825087815469203e-05,1.0,0.0003182171803151057,0.23013934044341688
xgb,1.973175400848959e-09,1.3322676295501878e-15,0.0003182171803151057,1.0,0.01639507184919231
extratrees,0.0003182171803151057,2.1435180519446817e-08,0.23013934044341688,0.01639507184919231,1.0
