,lr_l2,svm_linear_cal,rf,xgb,extratrees
lr_l2,1.0,0.8414805811217938,1.1980742842254699e-08,1.0606846512217771e-09,0.00373162660076809
svm_linear_cal,0.8414805811217938,1.0,3.6350156218389884e-09,2.976456858760912e-10,0.0019352064264366309
rf,1.1980742842254699e-08,3.6350156218389884e-09,1.0,0.6891565167793527,0.005110260660855959
xgb,1.0606846512217771e-09,2.976456858760912e-10,0.6891565167793527,1.0,0.0013742758758317208
extratrees,0.00373162660076809,0.0019352064264366309,0.005110260660855959,0.0013742758758317208,1.0
