,lr_l2,svm_linear_cal,rf,xgb,extratrees
lr_l2,1.0,0.04550026389635842,0.021448220043351673,1.973175400848959e-09,0.0002155994669548189
svm_linear_cal,0.04550026389635842,1.0,1.7079810942011164e-05,1.3322676295501878e-15,1.1980742842254699e-08
rf,0.021448220043351673,1.7079810942011164e-05,1.0,0.0002155994669548189,0.1615133184675419
xgb,1.973175400848959e-09,1.3322676295501878e-15,0.0002155994669548189,1.0,0.021448220043351673
extratrees,0.0002155994669548189,1.1980742842254699e-08,0.1615133184675419,0.021448220043351673,1.0
