,lr_l2,svm_linear_cal,rf,xgb,extratrees
lr_l2,1.0,0.04550026389635842,0.0019352064264366309,1.9928852634798488e-07,0.0002155994669548189
svm_linear_cal,0.04550026389635842,1.0,3.396534813404628e-07,6.021849685566849e-13,1.1980742842254699e-08
rf,0.0019352064264366309,3.396534813404628e-07,1.0,0.035728841125633126,0.5485062355001469
xgb,1.9928852634798488e-07,6.021849685566849e-13,0.035728841125633126,1.0,0.1336144025377164
extratrees,0.0002155994669548189,1.1980742842254699e-08,0.5485062355001469,0.1336144025377164,1.0
