,lr_l2,svm_linear_cal,rf,xgb,extratrees
lr_l2,1.0,0.04550026389635842,4.2249094049928715e-06,1.1580268077793221e-07,0.035728841125633126
svm_linear_cal,0.04550026389635842,1.0,4.111577744936312e-11,2.877698079828406e-13,4.131501382498293e-05
rf,4.2249094049928715e-06,4.111577744936312e-11,1.0,0.4839273044461452,0.012419330651552318
xgb,1.1580268077793221e-07,2.877698079828406e-13,0.4839273044461452,1.0,0.0013742758758317208
extratrees,0.035728841125633126,4.131501382498293e-05,0.012419330651552318,0.0013742758758317208,1.0
