,lr_l2,svm_linear_cal,rf,xgb,extratrees
lr_l2,1.0,0.8414805811217938,4.111577744936312e-11,2.1435180519446817e-08,0.0019352064264366309
svm_linear_cal,0.8414805811217938,1.0,1.553770445639202e-10,6.66408970229071e-08,0.00373162660076809
rf,4.111577744936312e-11,1.553770445639202e-10,1.0,0.31731050786291415,0.0004652581580710802
xgb,2.1435180519446817e-08,6.66408970229071e-08,0.31731050786291415,1.0,0.012419330651552318
extratrees,0.0019352064264366309,0.00373162660076809,0.0004652581580710802,0.012419330651552318,1.0
