,lr_l2,svm_linear_cal,rf,xgb,extratrees
lr_l2,1.0,0.04550026389635842,0.002699796063260207,3.6350156218389884e-09,0.0019352064264366309
svm_linear_cal,0.04550026389635842,1.0,5.733031438470704e-07,2.886579864025407e-15,3.396534813404628e-07
rf,0.002699796063260207,5.733031438470704e-07,1.0,0.00373162660076809,0.9203443254459422
xgb,3.6350156218389884e-09,2.886579864025407e-15,0.00373162660076809,1.0,0.005110260660855959
extratrees,0.0019352064264366309,3.396534813404628e-07,0.9203443254459422,0.005110260660855959,1.0
