,lr_l2,svm_linear_cal,rf,xgb,extratrees
lr_l2,1.0,0.04550026389635842,0.0019352064264366309,1.1980742842254699e-08,0.0013742758758317208
svm_linear_cal,0.04550026389635842,1.0,3.396534813404628e-07,1.354472090042691e-14,1.9928852634798488e-07
rf,0.0019352064264366309,3.396534813404628e-07,1.0,0.009322376047437464,0.9203443254459416
xgb,1.1980742842254699e-08,1.354472090042691e-14,0.009322376047437464,1.0,0.012419330651552318
extratrees,0.0013742758758317208,1.9928852634798488e-07,0.9203443254459416,0.012419330651552318,1.0
