mechanism,rate,seed,feature,missing_rate,auroc_indicator
MCAR,0.0,1001,gender,0.0,
MCAR,0.0,1001,anchor_age,0.0,
MCAR,0.0,1001,race,0.0,
MCAR,0.0,1001,marital_status,0.02776791421063845,0.573171920728443
MCAR,0.0,1001,insurance,0.012854200695973298,0.512035314036664
MCAR,0.0,1001,admission_type,0.0,
MCAR,0.0,1001,admission_location,0.0,
MCAR,0.0,1001,anchor_year,0.0,
MCAR,0.0,1001,anchor_year_group,0.0,
MCAR,0.0,1001,lab_50802,0.8139336694837015,0.14833820967694006
MCAR,0.0,1001,lab_50820,0.8033520346566295,0.1494678020873492
MCAR,0.0,1001,lab_50821,0.8139336694837015,0.14833820967694006
MCAR,0.0,1001,lab_50861,0.5340529791918187,0.3220240089528773
MCAR,0.0,1001,lab_50863,0.5471912506214047,0.31671658354424354
MCAR,0.0,1001,lab_50868,0.09104467012286059,0.46332167950311365
MCAR,0.0,1001,lab_50878,0.5319934663731269,0.3202144627724039
MCAR,0.0,1001,lab_50882,0.09104467012286059,0.46332167950311365
MCAR,0.0,1001,lab_50885,0.546054967686954,0.3158664632267241
MCAR,0.0,1001,lab_50893,0.17015836943398907,0.4255990534180475
MCAR,0.0,1001,lab_50902,0.08465307861657553,0.4666008458661538
MCAR,0.0,1001,lab_50912,0.0696683474185072,0.4728555860018881
MCAR,0.0,1001,lab_50931,0.09324621830835877,0.4621921888669554
MCAR,0.0,1001,lab_50960,0.15325616078403523,0.43427062668919814
MCAR,0.0,1001,lab_50970,0.1755557133726298,0.4242630628268735
MCAR,0.0,1001,lab_50971,0.08017896456217598,0.4688962623202819
MCAR,0.0,1001,lab_50983,0.08387188409914069,0.46700163286608093
MCAR,0.0,1001,lab_51006,0.08010794687877282,0.4689326975020935
MCAR,0.0,1001,lab_51221,0.03643207158582487,0.49134033431620117
MCAR,0.0,1001,lab_51222,0.054896669270648395,0.48186718704519627
MCAR,0.0,1001,lab_51248,0.05752432355656559,0.481952168544673
MCAR,0.0,1001,lab_51249,0.05745330587316242,0.4805555204999803
MCAR,0.0,1001,lab_51250,0.05752432355656559,0.481952168544673
MCAR,0.0,1001,lab_51265,0.05106171436687735,0.4838346868630204
MCAR,0.0,1001,lab_51274,0.390739294084227,0.32819529420289795
MCAR,0.0,1001,lab_51275,0.41438818265748173,0.32036162833916226
MCAR,0.0,1001,lab_51277,0.05766635892337192,0.48187929818104985
MCAR,0.0,1001,lab_51279,0.05752432355656559,0.481952168544673
MCAR,0.0,1001,lab_51301,0.056956182089340245,0.48081056677266115
MCAR,0.0,1001,lab_52172,0.5309992188054826,0.4654659611946995
MCAR,0.0,1002,gender,0.0,
MCAR,0.0,1002,anchor_age,0.0,
MCAR,0.0,1002,race,0.0,
MCAR,0.0,1002,marital_status,0.02776791421063845,0.573171920728443
MCAR,0.0,1002,insurance,0.012854200695973298,0.512035314036664
MCAR,0.0,1002,admission_type,0.0,
MCAR,0.0,1002,admission_location,0.0,
MCAR,0.0,1002,anchor_year,0.0,
MCAR,0.0,1002,anchor_year_group,0.0,
MCAR,0.0,1002,lab_50802,0.8139336694837015,0.14833820967694006
MCAR,0.0,1002,lab_50820,0.8033520346566295,0.1494678020873492
MCAR,0.0,1002,lab_50821,0.8139336694837015,0.14833820967694006
MCAR,0.0,1002,lab_50861,0.5340529791918187,0.3220240089528773
MCAR,0.0,1002,lab_50863,0.5471912506214047,0.31671658354424354
MCAR,0.0,1002,lab_50868,0.09104467012286059,0.46332167950311365
MCAR,0.0,1002,lab_50878,0.5319934663731269,0.3202144627724039
MCAR,0.0,1002,lab_50882,0.09104467012286059,0.46332167950311365
MCAR,0.0,1002,lab_50885,0.546054967686954,0.3158664632267241
MCAR,0.0,1002,lab_50893,0.17015836943398907,0.4255990534180475
MCAR,0.0,1002,lab_50902,0.08465307861657553,0.4666008458661538
MCAR,0.0,1002,lab_50912,0.0696683474185072,0.4728555860018881
MCAR,0.0,1002,lab_50931,0.09324621830835877,0.4621921888669554
MCAR,0.0,1002,lab_50960,0.15325616078403523,0.43427062668919814
MCAR,0.0,1002,lab_50970,0.1755557133726298,0.4242630628268735
MCAR,0.0,1002,lab_50971,0.08017896456217598,0.4688962623202819
MCAR,0.0,1002,lab_50983,0.08387188409914069,0.46700163286608093
MCAR,0.0,1002,lab_51006,0.08010794687877282,0.4689326975020935
MCAR,0.0,1002,lab_51221,0.03643207158582487,0.49134033431620117
MCAR,0.0,1002,lab_51222,0.054896669270648395,0.48186718704519627
MCAR,0.0,1002,lab_51248,0.05752432355656559,0.481952168544673
MCAR,0.0,1002,lab_51249,0.05745330587316242,0.4805555204999803
MCAR,0.0,1002,lab_51250,0.05752432355656559,0.481952168544673
MCAR,0.0,1002,lab_51265,0.05106171436687735,0.4838346868630204
MCAR,0.0,1002,lab_51274,0.390739294084227,0.32819529420289795
MCAR,0.0,1002,lab_51275,0.41438818265748173,0.32036162833916226
MCAR,0.0,1002,lab_51277,0.05766635892337192,0.48187929818104985
MCAR,0.0,1002,lab_51279,0.05752432355656559,0.481952168544673
MCAR,0.0,1002,lab_51301,0.056956182089340245,0.48081056677266115
MCAR,0.0,1002,lab_52172,0.5309992188054826,0.4654659611946995
MCAR,0.0,1003,gender,0.0,
MCAR,0.0,1003,anchor_age,0.0,
MCAR,0.0,1003,race,0.0,
MCAR,0.0,1003,marital_status,0.02776791421063845,0.573171920728443
