mechanism,rate,split,gap_mean,gap_std,gap_ci95_lo,gap_ci95_hi,n_seeds,top1_mode,top2_mode,frac_top1_dominant,frac_tied_or_flipped
MAR,0.0,S1,0.005519157575009448,0.0021425017245609583,0.004580164793395796,0.0064581503566231,20,xgb,rf,0.6,0.4
MAR,0.05,S1,0.004535063424007929,0.002913618201445297,0.0032581139456611067,0.005812012902354752,20,xgb,extratrees,0.45,0.55
MAR,0.1,S1,0.004533127194940057,0.0025202329565815512,0.0034285864017699385,0.005637667988110175,20,xgb,extratrees,0.35,0.65
MAR,0.2,S1,0.006530352567557035,0.0029334331901880403,0.0052447187874969875,0.007815986347617081,20,xgb,extratrees,0.7,0.3
MAR,0.3,S1,0.011866686888266165,0.005089562400659694,0.009636087817560153,0.014097285958972177,20,xgb,extratrees,0.95,0.05
MAR,0.4,S1,0.014434705493778056,0.008050076475381588,0.010906603922065128,0.017962807065490985,20,xgb,extratrees,0.8,0.2
MAR,0.5,S1,0.006387122884399199,0.005263717067544525,0.004080197165637539,0.00869404860316086,20,xgb,rf,0.35,0.65
MAR,0.0,S2,0.007555835301084485,0.0019872254287045406,0.00668489535662538,0.00842677524554359,20,xgb,rf,0.85,0.15
MAR,0.05,S2,0.006869170217905068,0.001915973249588149,0.006029457917791615,0.0077088825180185215,20,xgb,extratrees,0.85,0.15
MAR,0.1,S2,0.00655749416604679,0.0018915619680074866,0.005728480581799657,0.007386507750293922,20,xgb,extratrees,0.8,0.2
MAR,0.2,S2,0.007826417956419491,0.002837110547106159,0.006582999435989337,0.009069836476849644,20,xgb,extratrees,0.85,0.15
MAR,0.3,S2,0.013299570883265272,0.005644523269368847,0.010825749488011205,0.01577339227851934,20,xgb,extratrees,0.95,0.05
MAR,0.4,S2,0.01416420419034603,0.006250177114631969,0.011424943293998837,0.01690346508669322,20,xgb,extratrees,0.95,0.05
MAR,0.5,S2,0.0057008221089697945,0.004114612833925812,0.0038975135254105658,0.007504130692529023,20,xgb,extratrees,0.4,0.6
