mechanism,rate,feature,auroc_mean,auroc_std,missing_rate_mean,n_seeds,leak_strength
MAR,0.0,admission_location,,0.0,0.0,20,
MAR,0.0,admission_type,,0.0,0.0,20,
MAR,0.0,anchor_age,,0.0,0.0,20,
MAR,0.0,anchor_year,,0.0,0.0,20,
MAR,0.0,anchor_year_group,,0.0,0.0,20,
MAR,0.0,gender,,0.0,0.0,20,
MAR,0.0,insurance,0.512035314036664,0.0,0.012854200695973298,20,0.012035314036664024
MAR,0.0,lab_50802,0.14833820967694006,0.0,0.8139336694837015,20,0.35166179032305994
MAR,0.0,lab_50820,0.1494678020873492,0.0,0.8033520346566295,20,0.3505321979126508
MAR,0.0,lab_50821,0.14833820967694006,0.0,0.8139336694837015,20,0.35166179032305994
MAR,0.0,lab_50861,0.3220240089528773,0.0,0.5340529791918187,20,0.1779759910471227
MAR,0.0,lab_50863,0.31671658354424354,0.0,0.5471912506214047,20,0.18328341645575646
MAR,0.0,lab_50868,0.4633216795031137,0.0,0.09104467012286059,20,0.036678320496886296
MAR,0.0,lab_50878,0.3202144627724039,0.0,0.5319934663731269,20,0.1797855372275961
MAR,0.0,lab_50882,0.4633216795031137,0.0,0.09104467012286059,20,0.036678320496886296
MAR,0.0,lab_50885,0.3158664632267241,0.0,0.546054967686954,20,0.18413353677327587
MAR,0.0,lab_50893,0.4255990534180475,0.0,0.17015836943398907,20,0.07440094658195251
MAR,0.0,lab_50902,0.4666008458661538,0.0,0.08465307861657553,20,0.0333991541338462
MAR,0.0,lab_50912,0.4728555860018881,0.0,0.0696683474185072,20,0.027144413998111905
MAR,0.0,lab_50931,0.46219218886695546,0.0,0.09324621830835877,20,0.037807811133044544
MAR,0.0,lab_50960,0.43427062668919814,0.0,0.15325616078403523,20,0.06572937331080186
MAR,0.0,lab_50970,0.4242630628268735,0.0,0.1755557133726298,20,0.07573693717312652
MAR,0.0,lab_50971,0.4688962623202819,0.0,0.08017896456217598,20,0.03110373767971808
MAR,0.0,lab_50983,0.46700163286608093,0.0,0.08387188409914069,20,0.03299836713391907
MAR,0.0,lab_51006,0.46893269750209343,0.0,0.08010794687877282,20,0.031067302497906568
MAR,0.0,lab_51221,0.49134033431620117,0.0,0.03643207158582487,20,0.008659665683798834
MAR,0.0,lab_51222,0.4818671870451963,0.0,0.05489666927064839,20,0.01813281295480368
MAR,0.0,lab_51248,0.48195216854467293,0.0,0.05752432355656558,20,0.018047831455327068
MAR,0.0,lab_51249,0.4805555204999803,0.0,0.05745330587316242,20,0.019444479500019707
MAR,0.0,lab_51250,0.48195216854467293,0.0,0.05752432355656558,20,0.018047831455327068
MAR,0.0,lab_51265,0.4838346868630204,0.0,0.051061714366877356,20,0.01616531313697961
MAR,0.0,lab_51274,0.32819529420289795,0.0,0.390739294084227,20,0.17180470579710205
MAR,0.0,lab_51275,0.32036162833916226,0.0,0.4143881826574817,20,0.17963837166083774
MAR,0.0,lab_51277,0.4818792981810499,0.0,0.05766635892337192,20,0.01812070181895009
MAR,0.0,lab_51279,0.48195216854467293,0.0,0.05752432355656558,20,0.018047831455327068
MAR,0.0,lab_51301,0.4808105667726611,0.0,0.056956182089340245,20,0.019189433227338903
MAR,0.0,lab_52172,0.4654659611946995,0.0,0.5309992188054826,20,0.03453403880530048
MAR,0.0,marital_status,0.573171920728443,0.0,0.02776791421063845,20,0.07317192072844303
MAR,0.0,race,,0.0,0.0,20,
MAR,0.05,admission_location,0.5100636058535664,0.008224080917228921,0.06320573822881898,20,0.01006360585356636
MAR,0.05,admission_type,0.508882525849642,0.009592209378909963,0.06327320502805198,20,0.008882525849641998
MAR,0.05,anchor_age,0.5094745924653672,0.00668814232986707,0.06253817200482921,20,0.009474592465367193
MAR,0.05,anchor_year,0.5088892175066367,0.004960706663513867,0.062282508344577804,20,0.008889217506636737
MAR,0.05,anchor_year_group,0.5066721824918163,0.005192034882326613,0.06283289539095235,20,0.006672182491816336
MAR,0.05,gender,0.5080172259026053,0.007116463546598149,0.0620268446843264,20,0.00801722590260534
MAR,0.05,insurance,0.5196991390305473,0.00541379706812789,0.07389389958099567,20,0.01969913903054732
MAR,0.05,lab_50802,0.17529095731710048,0.0059584505474253495,0.8260634898089624,20,0.3247090426828995
MAR,0.05,lab_50820,0.17970752726430406,0.007099482567724981,0.81591861373482,20,0.32029247273569594
MAR,0.05,lab_50821,0.18167424850910902,0.007220377876868314,0.8261913216390881,20,0.318325751490891
