mechanism,rate,split,seed,winner_model,winner_auroc,winner_ap,winner_brier
MAR,0.0,S1,1001,xgb,0.9600384894535464,0.5842024011112866,0.015685167722403963
MAR,0.0,S1,1002,xgb,0.9550617483457096,0.5634138093460291,0.0161458425223827
MAR,0.0,S1,1003,xgb,0.9533960065247978,0.5609460385592272,0.0160674091428518
MAR,0.0,S1,1004,xgb,0.9555144604829993,0.5540993824343483,0.016144635900855
MAR,0.0,S1,1005,xgb,0.9579001868186763,0.5742799940221098,0.01591585781425232
MAR,0.0,S1,1006,xgb,0.957176169270849,0.5738820961505523,0.0159300852566957
MAR,0.0,S1,1007,xgb,0.9573386463856224,0.5714659788668562,0.016003664210438678
MAR,0.0,S1,1008,xgb,0.9516985525752559,0.5597755354366691,0.01617240123450752
MAR,0.0,S1,1009,xgb,0.9581727656373541,0.5773928187628232,0.015869481861591282
MAR,0.0,S1,1010,xgb,0.9523843870763748,0.5705778051779341,0.01582240685820574
MAR,0.0,S1,1011,xgb,0.9544375251639947,0.5771836333125859,0.01583817210048432
MAR,0.0,S1,1012,xgb,0.9567830059632003,0.5779814686407766,0.01571226250380272
MAR,0.0,S1,1013,xgb,0.9564389419165785,0.554178534282477,0.016138713993132082
MAR,0.0,S1,1014,xgb,0.9544847984862613,0.5591339167052946,0.01613870915025468
MAR,0.0,S1,1015,xgb,0.9543621776080237,0.5790143433906465,0.01581012234091754
MAR,0.0,S1,1016,xgb,0.9544051784842607,0.5646282142797541,0.0160878343507647
MAR,0.0,S1,1017,xgb,0.9581064042925757,0.5862341142603955,0.01559020671993488
MAR,0.0,S1,1018,xgb,0.9559385272454024,0.5693847746001302,0.015938506834208922
MAR,0.0,S1,1019,xgb,0.960275807411079,0.5759214856933003,0.015814711526036203
MAR,0.0,S1,1020,xgb,0.9552839155340621,0.5695190915410929,0.01589177399873728
MAR,0.0,S2,1001,xgb,0.9575756732180458,0.5510209531284048,0.01618723012506956
MAR,0.0,S2,1002,xgb,0.9556778162288098,0.5585138043173068,0.015971211344003623
MAR,0.0,S2,1003,xgb,0.9570175299972792,0.5665805514463338,0.0156647672876715
MAR,0.0,S2,1004,xgb,0.9554435685130205,0.5550263147093284,0.016064985096454577
MAR,0.0,S2,1005,xgb,0.9574439560358007,0.5635259785605146,0.015978997759520962
MAR,0.0,S2,1006,xgb,0.9538152843972177,0.5721141515763414,0.01571456175297494
MAR,0.0,S2,1007,xgb,0.957602446864475,0.5670140877283932,0.01588017847388978
MAR,0.0,S2,1008,xgb,0.9568999956244472,0.5603344951555866,0.01586380619555706
MAR,0.0,S2,1009,xgb,0.9565586085605986,0.5690770411754604,0.01587225794792172
MAR,0.0,S2,1010,xgb,0.9585421807235592,0.5701350695879842,0.0156471766531467
MAR,0.0,S2,1011,xgb,0.9566203155412056,0.5673925899416499,0.01570358630269758
MAR,0.0,S2,1012,xgb,0.9527895192510186,0.5596565830355827,0.01600103788077826
MAR,0.0,S2,1013,xgb,0.9588901979371489,0.5597426820291005,0.01599175911396736
MAR,0.0,S2,1014,xgb,0.95592632211658,0.5629403819576039,0.0158942965790629
MAR,0.0,S2,1015,xgb,0.9562690215866511,0.562943162768109,0.01580269969999786
MAR,0.0,S2,1016,xgb,0.9588392574046065,0.5687376496292704,0.015860463678836763
