mechanism,rate,split,model,seed,fold,auroc,ap,brier,ece
MCAR,0.0,S1,xgb,1001,5,0.9669733965014576,0.616755506474275,0.0147421453148126,0.0044968643001704
MCAR,0.0,S1,extratrees,1001,1,0.9394150981582676,0.4408125115593909,0.0194379259329207,0.0055765925092572
MCAR,0.0,S1,extratrees,1001,2,0.96368300879961,0.5684698888928807,0.0171134195876293,0.0140305094086502
MCAR,0.0,S1,extratrees,1001,3,0.939952281997999,0.5348306531728692,0.0179829928804479,0.0129468753591048
MCAR,0.0,S1,extratrees,1001,4,0.9541398404599934,0.6162831773588007,0.0164245166508838,0.0102331912878787
MCAR,0.0,S1,extratrees,1001,5,0.9559670594428248,0.588690570869525,0.0162002771859217,0.0074852035984848
MCAR,0.0,S1,lr_l2,1002,1,0.8999747014774336,0.4024416824138375,0.0196117414762692,0.0054460086649721
MCAR,0.0,S1,lr_l2,1002,2,0.8935939865055542,0.4617326195446148,0.0178653176978114,0.0037659178447059
MCAR,0.0,S1,lr_l2,1002,3,0.8902332024936505,0.4313653049906142,0.0182769392703293,0.0037545017661739
MCAR,0.0,S1,lr_l2,1002,4,0.9162718658892128,0.564518191241831,0.0159707283642008,0.0077425572893042
MCAR,0.0,S1,lr_l2,1002,5,0.8371041869128605,0.3744663008738527,0.0195808277008618,0.0065857261857058
MCAR,0.0,S1,svm_linear_cal,1002,1,0.8849220805504958,0.4099954992464665,0.0190521972377574,0.0027116127862262
MCAR,0.0,S1,svm_linear_cal,1002,2,0.8916442186818543,0.459186210852364,0.0179155976126041,0.007029928808038
MCAR,0.0,S1,svm_linear_cal,1002,3,0.877180020010775,0.4429378327859067,0.0181169849155844,0.0061705723884914
MCAR,0.0,S1,svm_linear_cal,1002,4,0.911858195659216,0.5886641820292936,0.0167011484194226,0.010175605021278
MCAR,0.0,S1,svm_linear_cal,1002,5,0.8188168124392615,0.36977379281004,0.0196943865839051,0.0050040289613328
MCAR,0.0,S1,rf,1002,1,0.9484719692369966,0.5255215488373017,0.0170958249568984,0.0054156686617341
MCAR,0.0,S1,rf,1002,2,0.9480951281459248,0.507148428977696,0.0171077171091593,0.0068528407004291
