mechanism,rate,split,model,seed,auroc_mean,ap_mean,brier_mean,ece_mean,auroc_std,ap_std,brier_std
MAR,0.0,S1,extratrees,1001,0.950631457771739,0.5498173603706933,0.01743182644756068,0.01005447443267514,0.010618049452441882,0.06779271089074088,0.0013191843238038667
MAR,0.0,S1,extratrees,1002,0.9493766327872983,0.5593793663543185,0.017154121013725022,0.009568073488916801,0.010788287771200732,0.08026651836415069,0.0009918395767168505
MAR,0.0,S1,extratrees,1003,0.9506621592190425,0.5548100606606436,0.01715301491881982,0.010120746460117019,0.010567458307462052,0.05751442606596066,0.0007705462618236871
MAR,0.0,S1,extratrees,1004,0.9509019326956581,0.557918365332788,0.01690911287275652,0.00887053597241042,0.012721626596560238,0.07583117755774844,0.0012027639283582316
MAR,0.0,S1,extratrees,1005,0.9505889094573263,0.5659809859833173,0.01685595598081224,0.00870062890956956,0.018339749656808964,0.04753778408973968,0.0006386201600132554
MAR,0.0,S1,extratrees,1006,0.9511864839365176,0.5584772749990248,0.01708734882307062,0.01021227105425416,0.011426065368480473,0.025048229865468202,0.0004374249750589407
MAR,0.0,S1,extratrees,1007,0.9511014976699389,0.55327425992728,0.01709343871004916,0.01004124203707658,0.006781326278224597,0.016786146953400537,0.0003902397336559047
MAR,0.0,S1,extratrees,1008,0.9473654330545891,0.5517946296413769,0.01698373698539962,0.00799117115477186,0.008629723767917137,0.05431778873841777,0.000802836147657046
MAR,0.0,S1,extratrees,1009,0.9491833268833684,0.5525119462898336,0.01709595216183554,0.00856593526291488,0.007088299692143193,0.04465974287616099,0.000520507135060378
MAR,0.0,S1,extratrees,1010,0.950210864239998,0.5602988303832657,0.01695451476179074,0.00902754086727224,0.016016850660681644,0.05655005578895787,0.0009253441197597111
MAR,0.0,S1,extratrees,1011,0.9488540788806998,0.5602159371607858,0.0170045599085881,0.009644478296514939,0.007043049799322791,0.0167127960545503,0.0003737037444311209
MAR,0.0,S1,extratrees,1012,0.9492225739758802,0.552319286627381,0.0171053065498661,0.0096149447098004,0.012956184992155126,0.06029334431931975,0.0008673750040004928
MAR,0.0,S1,extratrees,1013,0.9493691907515707,0.5588003721715415,0.01706908516386496,0.01009302860815616,0.012608900909760478,0.06624633734131175,0.0011893066913974783
MAR,0.0,S1,extratrees,1014,0.9490658053174712,0.554327172643731,0.017061864197646402,0.00932864716541348,0.01182324698089053,0.0674505955481302,0.0014225049794833813
MAR,0.0,S1,extratrees,1015,0.9495521319797234,0.565958564344716,0.016815505842938,0.00824587331145584,0.011832934673914287,0.06462108937131625,0.0009092791893843094
MAR,0.0,S1,extratrees,1016,0.9502716844260986,0.553005334423814,0.0171093299652618,0.0088806864400641,0.007838503731393545,0.0631026923914076,0.0011648575348665396
MAR,0.0,S1,extratrees,1017,0.9498940874438857,0.5596633483716588,0.01687130422237716,0.00805847012624912,0.006675409002393577,0.03741311502127574,0.0006675912319623712
MAR,0.0,S1,extratrees,1018,0.9471656230862493,0.5492856091183114,0.01734399464352048,0.00944921595182872,0.010964176471267906,0.03828567998373353,0.0008591224105367644
